Total execution time: 102900.0 ms.
Frame 0 processed in 330 milliseconds.
Frame 1 processed in 440 milliseconds.
Frame 2 processed in 420 milliseconds.
Frame 3 processed in 430 milliseconds.
Frame 4 processed in 420 milliseconds.
Frame 5 processed in 430 milliseconds.
Frame 6 processed in 430 milliseconds.
Frame 7 processed in 420 milliseconds.
Frame 8 processed in 420 milliseconds.
Frame 9 processed in 430 milliseconds.
Frame 10 processed in 430 milliseconds.
Frame 11 processed in 430 milliseconds.
Frame 12 processed in 420 milliseconds.
Frame 13 processed in 430 milliseconds.
Frame 14 processed in 420 milliseconds.
Frame 15 processed in 430 milliseconds.
Frame 16 processed in 440 milliseconds.
Frame 17 processed in 420 milliseconds.
Frame 18 processed in 430 milliseconds.
Frame 19 processed in 430 milliseconds.
Frame 20 processed in 430 milliseconds.
Frame 21 processed in 420 milliseconds.
Frame 22 processed in 430 milliseconds.
Frame 23 processed in 430 milliseconds.
Frame 24 processed in 430 milliseconds.
Frame 25 processed in 440 milliseconds.
Frame 26 processed in 420 milliseconds.
Frame 27 processed in 430 milliseconds.
Frame 28 processed in 420 milliseconds.
Frame 29 processed in 430 milliseconds.
Frame 30 processed in 430 milliseconds.
Frame 31 processed in 440 milliseconds.
Frame 32 processed in 420 milliseconds.
Frame 33 processed in 430 milliseconds.
Frame 34 processed in 430 milliseconds.
Frame 35 processed in 430 milliseconds.
Frame 36 processed in 430 milliseconds.
Frame 37 processed in 420 milliseconds.
Frame 38 processed in 430 milliseconds.
Frame 39 processed in 430 milliseconds.
Frame 40 processed in 440 milliseconds.
Frame 41 processed in 430 milliseconds.
Frame 42 processed in 420 milliseconds.
Frame 43 processed in 430 milliseconds.
Frame 44 processed in 440 milliseconds.
Frame 45 processed in 430 milliseconds.
Frame 46 processed in 430 milliseconds.
Frame 47 processed in 430 milliseconds.
Frame 48 processed in 420 milliseconds.
Frame 49 processed in 430 milliseconds.
Frame 50 processed in 430 milliseconds.
Frame 51 processed in 430 milliseconds.
Frame 52 processed in 440 milliseconds.
Frame 53 processed in 420 milliseconds.
Frame 54 processed in 430 milliseconds.
Frame 55 processed in 430 milliseconds.
Frame 56 processed in 440 milliseconds.
Frame 57 processed in 420 milliseconds.
Frame 58 processed in 440 milliseconds.
Frame 59 processed in 430 milliseconds.
Frame 60 processed in 430 milliseconds.
Frame 61 processed in 430 milliseconds.
Frame 62 processed in 430 milliseconds.
Frame 63 processed in 430 milliseconds.
Frame 64 processed in 430 milliseconds.
Frame 65 processed in 420 milliseconds.
Frame 66 processed in 440 milliseconds.
Frame 67 processed in 430 milliseconds.
Frame 68 processed in 420 milliseconds.
Frame 69 processed in 450 milliseconds.
Frame 70 processed in 420 milliseconds.
Frame 71 processed in 430 milliseconds.
Frame 72 processed in 440 milliseconds.
